"clave","estado","localidad","location.long","location.lat","sistema","region","zdc","nombre"
"03AGN-115","AGUASCALIENTES","AGUASCALIENTES",-102.200359209296,21.9227238210396,"SIN","OCCIDENTAL","AGUASCALIENTES","Aguascalientes Norte"
"03AGO-115","AGUASCALIENTES","AGUASCALIENTES",-102.257301132108,21.69661970988,"SIN","OCCIDENTAL","AGUASCALIENTES","Agostaderito"
"03AGP-115","AGUASCALIENTES","AGUASCALIENTES",-102.215997772714,21.8675027757281,"SIN","OCCIDENTAL","AGUASCALIENTES","Aguascalientes Poniente"
"03AGS-115","AGUASCALIENTES","AGUASCALIENTES",-102.404387003868,21.6822044370414,"SIN","OCCIDENTAL","AGUASCALIENTES","Aguascalientes"
"03AIS-115","AGUASCALIENTES","AGUASCALIENTES",-102.381257205402,21.7623439788533,"SIN","OCCIDENTAL","AGUASCALIENTES","Alfa Nissan"
"03ALF-115","AGUASCALIENTES","AGUASCALIENTES",-102.170915624044,21.9667907172775,"SIN","OCCIDENTAL","AGUASCALIENTES","Nissan Mexicana"
"03APT-115","AGUASCALIENTES","AGUASCALIENTES",-102.172006821766,21.7904068134607,"SIN","OCCIDENTAL","AGUASCALIENTES","Aguascalientes Potencia"
"03ASS-115","AGUASCALIENTES","AGUASCALIENTES",-102.386455379679,21.7845434902268,"SIN","OCCIDENTAL","AGUASCALIENTES","Aguascalientes Sur"
"03ASU-115","AGUASCALIENTES","AGUASCALIENTES",-102.381876971908,21.8664133116139,"SIN","OCCIDENTAL","AGUASCALIENTES","Asuncion"
"03AYU-115","AGUASCALIENTES","AGUASCALIENTES",-102.073139936142,21.7912606312703,"SIN","OCCIDENTAL","AGUASCALIENTES","Ayuntamiento"
"03BOL-115","AGUASCALIENTES","AGUASCALIENTES",-102.213977820383,21.9604632816114,"SIN","OCCIDENTAL","AGUASCALIENTES","Min y Minas Mexicana"
"03CUB-115","AGUASCALIENTES","AGUASCALIENTES",-102.378982474739,21.6814022820098,"SIN","OCCIDENTAL","AGUASCALIENTES","Cumbres"
"03CVO-115","AGUASCALIENTES","CALVILLO",-102.640504918815,21.7722995164139,"SIN","OCCIDENTAL","AGUASCALIENTES","Calvillo"
"03GOP-115","AGUASCALIENTES","JESUS MARIA",-102.527161078752,21.8377834824054,"SIN","OCCIDENTAL","AGUASCALIENTES","Gomez Portugal"
"03KDA-230","AGUASCALIENTES","AGUASCALIENTES",-102.140067455345,21.7925912618753,"SIN","OCCIDENTAL","AGUASCALIENTES","Cañada"
"03MAH-115","AGUASCALIENTES","AGUASCALIENTES",-102.409052113922,21.8857665936073,"SIN","OCCIDENTAL","AGUASCALIENTES","Mahle Comp Motor Mex"
"03MRE-115","AGUASCALIENTES","AGUASCALIENTES",-102.095380273743,21.9885596517007,"SIN","OCCIDENTAL","AGUASCALIENTES","Morelos"
"03MRS-115","AGUASCALIENTES","JESUS MARIA",-102.441336795564,21.945998717253,"SIN","OCCIDENTAL","AGUASCALIENTES","Las Margaritas"
"03NSS-115","AGUASCALIENTES","AGUASCALIENTES",-102.380168512724,21.8884193963126,"SIN","OCCIDENTAL","AGUASCALIENTES","Nissan"
"03OMG-115","AGUASCALIENTES","AGUASCALIENTES",-102.189217339355,21.6962521178439,"SIN","OCCIDENTAL","AGUASCALIENTES","Omega"
"03PAB-115","AGUASCALIENTES","PABELLON DE ARTEAGA",-102.33430978149,22.0886786142992,"SIN","OCCIDENTAL","AGUASCALIENTES","Pabellon"
"03PAO-115","AGUASCALIENTES","EL LLANO",-101.855120736867,21.9247691183193,"SIN","OCCIDENTAL","AGUASCALIENTES","Palo Alto"
"03PEN1115","AGUASCALIENTES","AGUASCALIENTES",-102.274948756563,21.6673726680577,"SIN","OCCIDENTAL","AGUASCALIENTES","Peñuelas"
"03SAN-115","AGUASCALIENTES","TEPEZALA",-102.16204008548,22.3003598616702,"SIN","OCCIDENTAL","ZACATECAS","San Antonio"
"03SFC-115","AGUASCALIENTES","ASIENTOS",-102.112111168055,22.1715145993067,"SIN","OCCIDENTAL","AGUASCALIENTES","Mina Santa Francisca"
"03STE-115","AGUASCALIENTES","CALVILLO",-102.57679770735,21.9666075034609,"SIN","OCCIDENTAL","AGUASCALIENTES","El Salitre"
"03TAG-115","AGUASCALIENTES","AGUASCALIENTES",-102.193415000905,21.7955506064945,"SIN","OCCIDENTAL","AGUASCALIENTES","Tecnologico Aguascalientes"
"03TAY-115","AGUASCALIENTES","AGUASCALIENTES",-102.379344417858,21.8372775884305,"SIN","OCCIDENTAL","AGUASCALIENTES","El Taray"
"03TXS-115","AGUASCALIENTES","AGUASCALIENTES",-102.505668840891,21.7617175904157,"SIN","OCCIDENTAL","AGUASCALIENTES","Texas Intruments"
"03VDL-115","AGUASCALIENTES","RINCON DE ROMOS",-102.29694477201,22.1930613876953,"SIN","OCCIDENTAL","ZACATECAS","Valle de las Delicias"
"03VJU-115","AGUASCALIENTES","ASIENTOS",-101.955910278264,22.0877211736396,"SIN","OCCIDENTAL","AGUASCALIENTES","Villa Juarez"
"03VQM-230","AGUASCALIENTES","AGUASCALIENTES",-102.376502579375,21.814328940139,"SIN","OCCIDENTAL","AGUASCALIENTES","Vaquerias Maniobras"
