"sistema","region","zona.de.carga","nodo.id"
"SIN","CENTRAL","VDM SUR","01AAP-85"
"SIN","CENTRAL","VDM NORTE","01ACC-85"
"SIN","CENTRAL","VDM NORTE","01ACM-85"
"SIN","CENTRAL","VDM NORTE","01ACN-85"
"SIN","CENTRAL","VDM NORTE","01ACO-230"
"SIN","CENTRAL","CENTRO ORIENTE","01ACS-230"
"SIN","CENTRAL","VDM SUR","01AGU-230"
"SIN","CENTRAL","VDM SUR","01AGV-85"
"SIN","CENTRAL","CENTRO SUR","01AIN-115"
"SIN","CENTRAL","VDM NORTE","01ALR-85"
"SIN","CENTRAL","VDM SUR","01AMO-85"
"SIN","CENTRAL","CENTRO ORIENTE","01ANL-85"
"SIN","CENTRAL","CENTRO SUR","01ANM-115"
"SIN","CENTRAL","VDM SUR","01ANS-85"
"SIN","CENTRAL","CENTRO SUR","01ANU-115"
"SIN","CENTRAL","CENTRO SUR","01ANU-69"
"SIN","CENTRAL","VDM CENTRO","01ARA-85"
"SIN","CENTRAL","VDM NORTE","01ARX-230"
"SIN","CENTRAL","CENTRO ORIENTE","01ASK-230"
"SIN","CENTRAL","VDM SUR","01ATE-230"
"SIN","CENTRAL","VDM SUR","01ATE-85"
"SIN","CENTRAL","LAZARO CARDENAS","01ATG-69"
"SIN","CENTRAL","VDM NORTE","01ATI-230"
"SIN","CENTRAL","VDM NORTE","01ATK-230"
"SIN","CENTRAL","CENTRO SUR","01ATM-115"
"SIN","CENTRAL","LAZARO CARDENAS","01ATS-115"
"SIN","CENTRAL","CENTRO SUR","01ATU-115"
"SIN","CENTRAL","VDM NORTE","01AUM-85"
"SIN","CENTRAL","CENTRO SUR","01AUO-115"
"SIN","CENTRAL","VDM CENTRO","01AUR-230"
"SIN","CENTRAL","CENTRO SUR","01AVA-115"
"SIN","CENTRAL","VDM SUR","01AVT-85"
"SIN","CENTRAL","VDM SUR","01AYO-230"
"SIN","CENTRAL","VDM NORTE","01AZC-230"
"SIN","CENTRAL","VDM NORTE","01BAR-85"
"SIN","CENTRAL","CENTRO SUR","01BBR-115"
"SIN","CENTRAL","VDM NORTE","01BBV-230"
"SIN","CENTRAL","VDM NORTE","01BDK-85"
"SIN","CENTRAL","VDM NORTE","01CAH-85"
"SIN","CENTRAL","VDM NORTE","01CAR-85"
"SIN","CENTRAL","LAZARO CARDENAS","01CAY-115"
"SIN","CENTRAL","CENTRO SUR","01CCM-115"
"SIN","CENTRAL","CENTRO ORIENTE","01CCZ-230"
"SIN","CENTRAL","VDM CENTRO","01CDS-85"
"SIN","CENTRAL","CENTRO ORIENTE","01CEA-85"
"SIN","CENTRAL","VDM NORTE","01CEI-230"
"SIN","CENTRAL","VDM NORTE","01CFD-230"
"SIN","CENTRAL","VDM NORTE","01CFI-230"
"SIN","CENTRAL","CENTRO ORIENTE","01CFZ-85"
"SIN","CENTRAL","VDM SUR","01CHA-85"
"SIN","CENTRAL","VDM NORTE","01CHE-85"
"SIN","CENTRAL","VDM CENTRO","01CHN-230"
"SIN","CENTRAL","VDM SUR","01CJM-230"
"SIN","CENTRAL","VDM CENTRO","01CMC-230"
"SIN","CENTRAL","CENTRO SUR","01CMO-115"
"SIN","CENTRAL","LAZARO CARDENAS","01CNA-69"
"SIN","CENTRAL","VDM SUR","01COA-230"
"SIN","CENTRAL","CENTRO SUR","01COM-115"
"SIN","CENTRAL","VDM CENTRO","01COY-230"
"SIN","CENTRAL","VDM CENTRO","01CPG-230"
"SIN","CENTRAL","VDM NORTE","01CPM-230"
"SIN","CENTRAL","VDM NORTE","01CRG-230"
"SIN","CENTRAL","VDM NORTE","01CRG-85"
